"","Cancer","Sex","EdI Low cancer incidence","EdI Low cancer mortality","EdI Medium cancer incidence","EdI Medium cancer mortality","EdI High cancer incidence","EdI High cancer mortality","EdI Very High cancer incidence","EdI Very High cancer mortality"
"1","All cancers excl. non-melanoma skin cancer","Both sexes",115.4,86.8,138,85.7,178.6,97.2,257.9,100.8
"2","Bladder","Both sexes",2.4,1.7,3.6,1.8,5.5,2.1,9.9,2.6
"3","Brain, nervous system","Both sexes",1.2,1.1,2.6,2.2,4.1,3.2,5.1,3.5
"4","Breast","Female",29.3,15.3,38.5,14.4,49,16.1,73.7,14.1
"5","Cervix uteri","Female",28.3,21.9,20.3,12.2,14.8,7.2,9.6,3.1
"6","Colorectum","Both sexes",6.9,5.3,11.2,6.4,17.7,9,30.1,11.7
"7","Corpus uteri","Female",3.3,1.7,6.2,1.9,9.7,2.5,14.8,2.7
"8","Gallbladder","Both sexes",1,0.8,1.4,1,1.8,1.2,2.2,1.4
"9","Hodgkin lymphoma","Both sexes",0.6,0.3,1,0.3,1.5,0.4,2.2,0.3
"10","Kaposi sarcoma","Both sexes",2.7,1.6,1,0.5,0.7,0.2,0.2,0
"11","Kidney","Both sexes",1.1,0.8,2.1,1,4,1.7,9,2.8
"12","Larynx","Both sexes",1.3,1,1.8,1.2,2.8,1.6,2.3,0.9
"13","Leukaemia","Both sexes",2.7,2.5,4.1,3.1,5.1,3.4,7.1,3.5
"14","Lip, oral cavity","Both sexes",3.4,2.4,2.6,1.5,3.2,1.4,4.2,1.4
"15","Liver","Both sexes",8,8,7.2,6.9,7.7,6.9,5.2,4.4
"16","Lung","Both sexes",4.9,4.8,11.5,10.3,17.8,15.7,26.9,20.9
"17","Melanoma of skin","Both sexes",0.8,0.6,0.9,0.5,2.1,0.7,11.2,1.6
"18","Multiple myeloma","Both sexes",0.8,0.7,1.1,0.9,1.8,1.2,2.9,1.6
"19","Nasopharynx","Both sexes",0.9,0.7,1.2,0.8,0.8,0.4,0.7,0.4
"20","Non-Hodgkin lymphoma","Both sexes",3.8,3,4.7,2.6,5,2.4,8.9,2.8
"21","Oesophagus","Both sexes",4.6,4.4,2.6,2.4,3,2.6,3.2,2.5
"22","Other pharynx","Both sexes",1,0.7,1.1,0.6,1.6,0.7,2.5,1.1
"23","Ovary","Female",4.6,3.8,5.3,3.7,6.9,4.1,8.7,4.9
"24","Pancreas","Both sexes",1.7,1.7,3.1,2.8,4.7,4.4,7.2,6.7
"25","Prostate","Male",23.1,14.4,30.4,14,38.7,13.8,62.1,10.9
"26","Stomach","Both sexes",5.8,5.6,7.2,6.3,8.7,6.9,8.4,5.2
"27","Testis","Male",0.5,0.2,1.1,0.2,2.8,0.4,6,0.3
"28","Thyroid","Both sexes",2,0.5,3.3,0.5,5.1,0.5,9.3,0.4
